rank,syst,category,max_chi2_shape,diagnostic,beam
1,DISNuHadronQ1Syst,DIS,184.182,DIS_topo,FHC
2,hNFSI_MFP_2024,FSI,179.5,FSI_confusion,FHC
3,DISvnCC1pi_2020,DIS,166.546,DIS_topo,FHC
4,ZNormCCQE,QE,104.191,QE_incl,FHC
5,MECInitStateNPFrac2020Nu,MEC,78.133,MEC_topo,FHC
6,FormZone2024,FSI,77.3027,FSI_confusion,FHC
7,MECShape2024Nu,MEC,66.3775,MEC_q0,FHC
8,MaCCRES,RES,58.4771,RES_q0,FHC
9,RESDeltaScaleSyst,RES,55.1944,RES_q0,FHC
10,MvCCRES,RES,31.9441,RES_q0,FHC
11,RPAShapesupp2020,QE,29.5058,QE_incl,FHC
12,MECInitStateNPFrac2020AntiNu,MEC,23.4833,MEC_topo,RHC
13,MECShape2024AntiNu,MEC,19.4894,MEC_q0,RHC
14,DISvpCC2pi_2020,DIS,17.0398,DIS_topo,FHC
15,DISvnCC2pi_2020,DIS,16.6416,DIS_topo,FHC
16,RESOtherScaleSyst,RES,14.5029,RES_topo,FHC
17,DISNuBarHadronQ0Syst,DIS,14.2911,DIS_topo,RHC
18,MECEnuShape2020Nu,MEC,13.9705,MEC_topo,FHC
19,hNFSI_FateFracEV1_2024,FSI,12.2308,FSI_confusion,FHC
20,MaNCRES,RES,9.55878,RES_topo,FHC
21,MECEnuShape2020AntiNu,MEC,9.18735,MEC_topo,RHC
22,ZExpAxialFFSyst2020_EV1,QE,8.74046,QE_incl,FHC
23,hNFSI_FateFracEV2_2024,FSI,8.24004,FSI_confusion,FHC
24,DISvpCC3pi_2020,DIS,6.32494,DIS_topo,FHC
25,LowQ2RESSupp2020,RES,5.81666,RES_q0,FHC
26,hNFSI_FateFracEV3_2024,FSI,5.4631,FSI_confusion,FHC
